Database entry; RomName; Rom; Vid; Thm; Whl; Art1; Art2; Art3; Art4; Snd; crc; Manufacturer; Year; Genre
SpongeBob SquarePants - Creature from the Krusty Krab; SpongeBob SquarePants - Creature from the Krusty Krab (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Zorro - Quest for Justice; Zorro - Quest for Justice (USA) (En,Fr,De,Es,It); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Avatar - The Last Airbender - The Burning Earth; Avatar - The Last Airbender - The Burning Earth (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Away - Shuffle Dungeon; Away - Shuffle Dungeon (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
B Team - Metal Cartoon Squad; B Team - Metal Cartoon Squad (Europe) (En,Fr,De,Es,It); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
B-17 - Fortress in the Sky; B-17 - Fortress in the Sky (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
B. Sokal Syberia; B. Sokal Syberia (USA) (En,Fr,Es) [b]; YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Baby Life; Baby Life (Europe) (En,Fr,De,Es,It,Nl) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Baby Pals; Baby Pals (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Babysitting Mania; Babysitting Mania (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Bachelor, The - The Videogame; Bachelor, The - The Videogame (USA) (En,Fr,Es); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Back at the Barnyard - Slop Bucket Games; Back at the Barnyard - Slop Bucket Games (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Mario & Sonic at the Olympic Games; Mario & Sonic at the Olympic Games (USA) (En,Fr,De,Es,It); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Mario vs. Donkey Kong - Mini-Land Mayhem!; Mario vs. Donkey Kong - Mini-Land Mayhem! (USA) (En,Fr,Es) (Rev 1) (NDSi Enhanced) [b]; YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Backyard Basketball; Backyard Basketball (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Backyard Football; Backyard Football (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Backyard Football '09; Backyard Football '09 (USA) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Backyard Hockey; Backyard Hockey (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Backyard Sports - Rookie Rush; Backyard Sports - Rookie Rush (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Backyard Sports - Sandlot Sluggers; Backyard Sports - Sandlot Sluggers (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Backyardigans, The; Backyardigans, The (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Bakugan - Battle Brawlers; Bakugan - Battle Brawlers (USA) (En,Fr) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Bakugan - Battle Brawlers - Battle Trainer; Bakugan - Battle Brawlers - Battle Trainer (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Bakugan - Defenders of the Core; Bakugan - Defenders of the Core (USA) (En,Fr); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Bakugan - Rise of the Resistance; Bakugan - Rise of the Resistance (USA) (En,Fr); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Balloon Pop; Balloon Pop (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Balls of Fury; Balls of Fury (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Band Hero; Band Hero (USA) (En,Fr) [b]; YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Bandz Mania; Bandz Mania (Europe) (En,Fr,De); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Bangai-O Spirits; Bangai-O Spirits (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Barbie - Groom and Glam Pups; Barbie - Groom and Glam Pups (USA) (En,Fr); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Barbie - Jet, Set & Style!; Barbie - Jet, Set & Style! (USA) (En,Fr) (NDSi Enhanced) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Barbie and the Three Musketeers; Barbie and the Three Musketeers (USA) (En,Fr); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Zoo Vet - Endangered Animals; Zoo Vet - Endangered Animals (USA) [b]; NO; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Barbie Fashion Show - An Eye for Style; Barbie Fashion Show - An Eye for Style (USA) (En,Fr); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Barbie Horse Adventures - Riding Camp; Barbie Horse Adventures - Riding Camp (USA) (En,Fr); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Barbie in the 12 Dancing Princesses; Barbie in the 12 Dancing Princesses (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Barnyard Blast - Swine of the Night; Barnyard Blast - Swine of the Night (USA) (En,Fr,Es,Pt); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Batman - The Brave and the Bold - The Videogame; Batman - The Brave and the Bold - The Videogame (USA) (En,Fr,Es); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Battle of Giants - Dinosaurs; Battle of Giants - Dinosaurs (USA) (En,Fr,Es); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Battle of Giants - Dragons; Battle of Giants - Dragons (USA) (En,Fr,Es) (Rev 1); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Battle of Giants - Mutant Insects; Battle of Giants - Mutant Insects (USA) (En,Fr,Es); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Battles of Prince of Persia; Battles of Prince of Persia (USA) (En,Fr,De,Es,It,Nl); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Battleship; Battleship (USA) (En,Fr); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Beastly - Frantic Foto; Beastly - Frantic Foto (USA) (En,Fr,Es); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Beat City; Beat City (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Beat the Intro; Beat the Intro (Europe) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Beauty Salon; Beauty Salon (Europe) (En,Fr,De,Es,It) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Bee Game, The; Bee Game, The (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Master of Illusion; Master of Illusion (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Beetle Junior DS; Beetle Junior DS (Europe) (En,Fr,De); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Beetle King; Beetle King (Europe); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Bejeweled 3; Bejeweled 3 (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Bejeweled Twist; Bejeweled Twist (USA) (NDSi Enhanced) [b]; YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Bella Sara; Bella Sara (USA) (En,Fr,De,Es,It) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Ben 10 - Alien Force; Ben 10 - Alien Force (USA) (En,Fr,De,Es,It) (Rev 1); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Ben 10 - Alien Force - Vilgax Attacks; Ben 10 - Alien Force - Vilgax Attacks (USA) (En,Fr,De,Es,It); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Ben 10 - Galactic Racing; Ben 10 - Galactic Racing (USA) (En,Fr,De,Es,It); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Ben 10 - Omniverse; Ben 10 - Omniverse (USA) (En,Fr,Es); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Max & the Magic Marker; Max & the Magic Marker (Europe) (En,Fr,De,Es,It); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Ben 10 - Ultimate Alien - Cosmic Destruction; Ben 10 - Ultimate Alien - Cosmic Destruction (USA) (En,Fr,De,Es,It); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Ben 10 Triple Pack; Ben 10 Triple Pack (USA) (En,Fr,De,Es,It); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Benoit Sokal Last King of Africa; Benoit Sokal Last King of Africa (Europe) (En,Fr,De,Es,It); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Berlitz - My English Coach; Berlitz - My English Coach (Europe) (En,Fr,De,Es,It) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Bermuda Triangle - Saving the Coral; Bermuda Triangle - Saving the Coral (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Best Friends Tonight; Best Friends Tonight (USA) (En,Fr,De,Es,It); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Best of Arcade Games DS; Best of Arcade Games DS (Europe) (En,Fr,De,Es,It,Nl,Pt) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Best of Board Games DS; Best of Board Games DS (Europe) (En,Fr,De,Es,It,Pt); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Best of Card Games DS; Best of Card Games DS (Europe) (En,Fr,De,Es,It,Nl); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Best of Tests DS; Best of Tests DS (USA) (En,Fr,Es); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Betty Boop's Double Shift; Betty Boop's Double Shift (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Beyblade - Metal Masters; Beyblade - Metal Masters (USA) (En,Fr,Es); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Beyblade Metal Fusion; Beyblade Metal Fusion (USA) (En,Fr,Es); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Bibi & Tina - Die Grosse Schnitzeljagd; Bibi & Tina - Die Grosse Schnitzeljagd (Europe) (En,Fr,De) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Big Bang Mini; Big Bang Mini (USA) (En,Fr,De,Es,It); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
MechAssault - Phantom War; MechAssault - Phantom War (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Big Deal, The; Big Deal, The (Europe); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Big League Sports - Summer; Big League Sports - Summer (USA) (En,Fr); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Big Mutha Truckers; Big Mutha Truckers (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Big Word Puzzle Book; Big Word Puzzle Book (Europe) (En,Fr,De,Es,It) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Bigfoot - Collision Course; Bigfoot - Collision Course (Europe) (En,Fr,De,Es,It,Nl); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Biggest Loser, The; Biggest Loser, The (USA) (NDSi Enhanced) [b]; YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Bigs 2, The; Bigs 2, The (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
