Database entry; RomName; Rom; Vid; Thm; Whl; Art1; Art2; Art3; Art4; Snd; crc; Manufacturer; Year; Genre
Mais Ou Se Cache Carmen Sandiego - Mystere au Bout du Monde; Mais Ou Se Cache Carmen Sandiego - Mystere au Bout du Monde (Europe) (En,Fr) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Major League Baseball 2K10; Major League Baseball 2K10 (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Major League Baseball 2K11; Major League Baseball 2K11 (USA); YES; NO; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Major League Baseball 2K12; Major League Baseball 2K12 (USA); YES; NO; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Major League Baseball 2K7; Major League Baseball 2K7 (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Major League Baseball 2K8 - Fantasy All-Stars; Major League Baseball 2K8 - Fantasy All-Stars (USA) (En,Fr,Es); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Major League Baseball 2K9 - Fantasy All-Stars; Major League Baseball 2K9 - Fantasy All-Stars (USA) (En,Fr,Es) [b]; YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Make 10 - A Journey of Numbers; Make 10 - A Journey of Numbers (Europe) (En,Fr,De,Es,It); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
March of the Penguins; March of the Penguins (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Margot's Bepuzzled!; Margot's Bepuzzled! (Europe) (En,Fr,De,Es,It) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Margot's Word Brain; Margot's Word Brain (USA) (En,Fr,Es) [b]; YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Marie -Antoinette and the Disciples of Loki; Marie -Antoinette and the Disciples of Loki (Europe) (En,Fr,De); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Marie-Antoinette and the American War of Independence - Episode 1 - The Brotherhood of the Wolf; Marie-Antoinette and the American War of Independence - Episode 1 - The Brotherhood of the Wolf (Europe) (En,Fr,De,Es,It); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Mario & Luigi - Bowser's Inside Story; Mario & Luigi - Bowser's Inside Story (USA) (En,Fr,Es); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Ratatouille; Ratatouille (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Real Stories - Mijn Babycreche; Real Stories - Mijn Babycreche (Europe) (En,Nl,Sv,No,Da); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Mario & Sonic at the Olympic Winter Games; Mario & Sonic at the Olympic Winter Games (USA) (En,Fr,Es); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Mario Hoops 3 on 3; Mario Hoops 3 on 3 (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Mario Kart DS; Mario Kart DS (USA) (En,Fr,De,Es,It); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Mario Party DS; Mario Party DS (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Real Soccer 2009; Real Soccer 2009 (USA) (En,Fr,Es) [b]; NO; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Zoobles! Spring to Life!; Zoobles! Spring to Life! (USA) (En,Fr); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Marker Man Adventures; Marker Man Adventures (USA) [b]; YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Martin Mystery; Martin Mystery (Europe) (En,Fr,De,Es,It) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Marvel - Ultimate Alliance 2; Marvel - Ultimate Alliance 2 (USA) [b]; YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Real Time Conflict - Shogun Empires; Real Time Conflict - Shogun Empires (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Marvel Super Hero Squad; Marvel Super Hero Squad (USA) (En,Fr,Es) [b]; YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Marvel Super Hero Squad - The Infinity Gauntlet; Marvel Super Hero Squad - The Infinity Gauntlet (USA) (En,Fr); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Restaurant Tycoon; Restaurant Tycoon (Europe) (En,Fr,De,Es,It,Nl); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Master Jin Jin's IQ Challenge; Master Jin Jin's IQ Challenge (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Retro Arcade Toppers; Retro Arcade Toppers (Europe) [b]; NO; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Master of the Monster Lair; Master of the Monster Lair (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Match 3 Madness; Match 3 Madness (Europe) (En,Fr,De,Es,It,Nl); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Matchstick; Matchstick (USA) (En,Es) [b]; YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Math Blaster in the Prime Adventure; Math Blaster in the Prime Adventure (USA) [b]; YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Math Play; Math Play (USA) (Rev 1); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Math Play; Math Play (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Maths Made Simple; Maths Made Simple (Europe) (En,Fr,De,Es,It); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Retro Atari Classics; Retro Atari Classics (USA, Europe); YES; NO; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
May's Mystery - Forbidden Memories; May's Mystery - Forbidden Memories (USA); YES; NO; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Mazes of Fate DS; Mazes of Fate DS (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Mechanic Master; Mechanic Master (USA) (En,Fr,De,Es,It) [b]; YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Mechanic Master 2; Mechanic Master 2 (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Rhythm 'n Notes - Improve Your Music Skills; Rhythm 'n Notes - Improve Your Music Skills (USA); YES; NO; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Meet the Robinsons; Meet the Robinsons (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Mega Brain Boost; Mega Brain Boost (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Mega Man Battle Network 5 - Double Team DS; Mega Man Battle Network 5 - Double Team DS (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Mega Man Star Force - Dragon; Mega Man Star Force - Dragon (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Mega Man Star Force - Leo; Mega Man Star Force - Leo (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Mega Man Star Force - Pegasus; Mega Man Star Force - Pegasus (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Mega Man Star Force 2 - Zerker x Ninja; Mega Man Star Force 2 - Zerker x Ninja (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Ringling Bros. and Barnum & Bailey - Circus Friends - Asian Elephants; Ringling Bros. and Barnum & Bailey - Circus Friends - Asian Elephants (USA) [b]; NO; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Mega Man Star Force 3 - Black Ace; Mega Man Star Force 3 - Black Ace (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Mega Man Star Force 3 - Red Joker; Mega Man Star Force 3 - Red Joker (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
River City - Super Sports Challenge; River City - Super Sports Challenge (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
River King - Mystic Valley; River King - Mystic Valley (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Zoo Quest - Puzzle Fun!; Zoo Quest - Puzzle Fun! (USA) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Megamind - The Blue Defender; Megamind - The Blue Defender (USA) (En,Fr); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Mein Eigener Tierbaby-Zoo; Mein Eigener Tierbaby-Zoo (Europe) (En,Fr,De,Es,It); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Mensch Aergere Dich Nicht - Das Beliebte Original; Mensch Aergere Dich Nicht - Das Beliebte Original (Europe) (En,Fr,De) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Merlin - A Servant of Two Masters; Merlin - A Servant of Two Masters (Europe); YES; NO; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Yu-Gi-Oh! - Nightmare Troubadour; Yu-Gi-Oh! - Nightmare Troubadour (USA); YES; NO; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Meteos; Meteos (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Meteos - Disney Magic; Meteos - Disney Magic (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Robots; Robots (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Rock Band 3; Rock Band 3 (USA) (En,Fr,De,Es,It); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Metropolis Crime$; Metropolis Crime$ (Europe) (En,Fr,De,Es,It) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Miami Law; Miami Law (USA) (En,Fr,Es) [b]; YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Miami Nights - Singles in the City; Miami Nights - Singles in the City (USA) (En,Fr,Es); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Michael Jackson - The Experience; Michael Jackson - The Experience (USA) (En,Fr,Es); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Youda Safari; Youda Safari (Europe) (En,Fr,De); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Midnight Mysteries - The Edgar Allan Poe Conspiracy; Midnight Mysteries - The Edgar Allan Poe Conspiracy (USA); YES; NO; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Midnight Play! Pack; Midnight Play! Pack (USA) (En,Fr,Es); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Miffy's World; Miffy's World (Europe) (En,Fr,Es,Nl,Pt) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Might & Magic - Clash of Heroes; Might & Magic - Clash of Heroes (USA) (En,Fr,Es); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Mijn Dierenpension; Mijn Dierenpension (Netherlands) (En,Nl); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Mijn Dierenpension 2; Mijn Dierenpension 2 (Netherlands) (En,Nl); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Military History - Commander - Europe at War; Military History - Commander - Europe at War (Europe) (En,Fr,De,Es,It); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Mind Quiz - Your Brain Coach; Mind Quiz - Your Brain Coach (USA) (En,Fr,De,Es,It); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Mind Your Language - Apprends le Francais!; Mind Your Language - Apprends le Francais! (Europe) (En,Fr,De,Es,It) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Mind Your Language - Aprende Espanol!; Mind Your Language - Aprende Espanol! (Europe) (En,Fr,De,Es,It) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Mind Your Language - Learn English!; Mind Your Language - Learn English! (Europe) (En,Fr,De,Es,It,Pt); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Mind Your Language - Learn Japanese!; Mind Your Language - Learn Japanese! (Europe) (En,Fr,De,Es,It) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Rock Revolution; Rock Revolution (USA) (En,Fr,Es) [b]; NO; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Mind. Body. Soul. - Blend-It; Mind. Body. Soul. - Blend-It (Europe) (En,Fr,De,Es,It); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Mind. Body. Soul. - Nutrition Matters; Mind. Body. Soul. - Nutrition Matters (Europe) (En,Fr,De,Es,It) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Mind. Body. Soul. - Spellbound 2; Mind. Body. Soul. - Spellbound 2 (Europe) (En,Fr,De,Es,It); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
MinDStorm 2; MinDStorm 2 (Europe) (En,Fr,De,Es,It) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Rub Rabbits!, The; Rub Rabbits!, The (USA) (En,Ja,Fr,De,Es,It); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Rudolph - The Red-Nosed Reindeer; Rudolph - The Red-Nosed Reindeer (USA); YES; NO; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Minute to Win It; Minute to Win It (USA) (En,Fr,De,Es,It); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Miss Spider's Sunny Patch Friends - Harvest Time Hop and Fly; Miss Spider's Sunny Patch Friends - Harvest Time Hop and Fly (USA) (En,Fr,Es); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Mission Runway; Mission Runway (USA) [b]; YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Mister Slime; Mister Slime (USA) (En,Fr,Es); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
MLB Power Pros 2008; MLB Power Pros 2008 (USA) [b]; YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Monopoly; Monopoly (USA) (En,Fr); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Monster Bomber; Monster Bomber (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Monster Frenzy; Monster Frenzy (USA) (En,Fr,Es); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Rubik's World; Rubik's World (USA) [b]; NO; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Rune Factory - A Fantasy Harvest Moon; Rune Factory - A Fantasy Harvest Moon (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Monster House; Monster House (USA) (En,Fr); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Youda Legend - The Curse Of The Amsterdam Diamond; Youda Legend - The Curse Of The Amsterdam Diamond (Europe) (En,De) (NDSi Enhanced) [b]; NO; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Rune Factory 3 - A Fantasy Harvest Moon; Rune Factory 3 - A Fantasy Harvest Moon (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Monster Jam - Urban Assault; Monster Jam - Urban Assault (USA) (En,Fr) [b]; YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Monster Lab; Monster Lab (USA) (En,Fr,De,Es,It) [b]; YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Monster Mayhem - Build and Battle; Monster Mayhem - Build and Battle (USA) [b]; YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Monster Puzzle; Monster Puzzle (Europe); YES; NO; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Monster Racers; Monster Racers (USA) (En,Fr,Es); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Monster Rancher DS; Monster Rancher DS (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Monster Tale; Monster Tale (USA); YES; NO; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Monster Trucks DS; Monster Trucks DS (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Monsters vs Aliens; Monsters vs Aliens (USA) (En,Fr) [b]; YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Moon; Moon (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Moorhuhn - Jewel of Darkness; Moorhuhn - Jewel of Darkness (Europe) (En,Fr,De); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Moshi Monsters - Moshling Zoo; Moshi Monsters - Moshling Zoo (USA); YES; NO; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Moshi Monsters - Moshlings Theme Park; Moshi Monsters - Moshlings Theme Park (Europe); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Rune Factory 2 - A Fantasy Harvest Moon; Rune Factory 2 - A Fantasy Harvest Moon (USA) [b]; NO; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Mouse DS; Mouse DS (Europe) (En,Fr,De,Es,It) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Moxie Girlz; Moxie Girlz (USA) (NDSi Enhanced) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Mr Bean; Mr Bean (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Mr. Driller - Drill Spirits; Mr. Driller - Drill Spirits (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
MTV Fan Attack; MTV Fan Attack (Europe) (En,Fr,De,Es,It); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Mummy, The - Tomb of the Dragon Emperor; Mummy, The - Tomb of the Dragon Emperor (USA) (En,Fr,De,Es,It); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Murder in Venice; Murder in Venice (USA) (En,Fr,Es); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Murder on the Titanic; Murder on the Titanic (Europe) (En,Fr,De,Nl) (NDSi Enhanced) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Mushroom Men - Rise of the Fungi; Mushroom Men - Rise of the Fungi (USA) (En,Fr,De,Es,It) [b]; YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Music - Music for Everyone; Music - Music for Everyone (Europe) (En,Fr,De,Es,It) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Music Monstars - The Ultimate Music Machine; Music Monstars - The Ultimate Music Machine (Europe) (En,Fr,De,Es,It); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
MX vs ATV Reflex; MX vs ATV Reflex (USA) (En,Fr); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Sands of Destruction; Sands of Destruction (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
My Animal Centre; My Animal Centre (Europe) (En,Fr,De,Es,It,Nl) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
My Animal Centre - Baby Animals; My Animal Centre - Baby Animals (Europe) (En,Fr,De,Es,It) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Science Papa; Science Papa (USA) (En,Fr) [b]; NO; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Zoey 101 - Field Trip Fiasco; Zoey 101 - Field Trip Fiasco (USA); YES; NO; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
My Baby - Boy; My Baby - Boy (USA) (En,Fr,Es) [b]; YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
My Baby - First Steps; My Baby - First Steps (USA) (En,Fr,Es); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
My Baby - Girl; My Baby - Girl (USA) (En,Fr,Es) [b]; YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
My Baby 3 & Friends; My Baby 3 & Friends (USA) (En,Fr,Es); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
My Boyfriend; My Boyfriend (Europe) (En,Fr,De,Es,It); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
My Boyfriend; My Boyfriend (Summer of My Life) (USA) (En,Fr,De,Es,It) [b]; YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
My Chinese Coach - Learn a New Language; My Chinese Coach - Learn a New Language (USA) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
My Dangerous Pet - Snake; My Dangerous Pet - Snake (Europe) (En,Fr,De,Es,It) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Scooby-Doo! - First Frights; Scooby-Doo! - First Frights (USA) (En,Fr,De,Es,It) [b]; NO; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
My DoItAll; My DoItAll (USA) (En,Fr,Es) [b]; YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
My Dress-Up; My Dress-Up (USA) [b]; YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
My English Coach para Hispanoparlantes - Ingles a Tu Alcance!; My English Coach para Hispanoparlantes - Ingles a Tu Alcance! (USA) (Es) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
My Farm Around the World; My Farm Around the World (USA) (En,Fr) [b]; YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
My Fashion Studio; My Fashion Studio (USA) (En,Fr,Es); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
My French Coach - Learn a New Language; My French Coach - Learn a New Language (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
My French Coach - Level 2 - Improve Your French; My French Coach - Level 2 - Improve Your French (Europe); YES; NO; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
My Friends; My Friends (USA) (En,Fr,Es); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
My Frogger - Toy Trials; My Frogger - Toy Trials (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
My Fun Facts Coach - Facts for Your Daily Life; My Fun Facts Coach - Facts for Your Daily Life (USA) (En,Fr) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
My Healthy Cooking Coach - Easy Way to Cook Healthy; My Healthy Cooking Coach - Easy Way to Cook Healthy (USA) (NDSi Enhanced); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Scrabble Interactive - 2007 Edition; Scrabble Interactive - 2007 Edition (Europe) (En,Fr); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
My Hero - Firefighter; My Hero - Firefighter (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
My Horse & Me; My Horse & Me (USA) (En,Fr,Es); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
My Horse & Me - Riding for Gold; My Horse & Me - Riding for Gold (USA) (En,Fr,Es) [b]; YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Sea Park Tycoon; Sea Park Tycoon (USA) [b]; NO; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Secret Files 2 - Puritas Cordis; Secret Files 2 - Puritas Cordis (Europe) (En,Fr,De,Es,It); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
My Little Baby; My Little Baby (Europe) (En,Fr,De,Es) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
My Little Pony - Pinkie Pie's Party; My Little Pony - Pinkie Pie's Party (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
You Don't Know Jack; You Don't Know Jack (USA) (NDSi Enhanced) [b]; NO; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
My Pet Beauty Salon; My Pet Beauty Salon (Europe) (En,Fr,De,Es,It) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
My Pet Chimp; My Pet Chimp (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Secret Saturdays, The - Beasts of the 5th Sun; Secret Saturdays, The - Beasts of the 5th Sun (USA) (En,Fr,Es) [b]; NO; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
My Pet School; My Pet School (Europe) (En,Fr,Es,It) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
My Pet Shop; My Pet Shop (USA) (En,Fr,De,Es,It) [b]; YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
My SAT Coach with the Princeton Review - Crack the SAT; My SAT Coach with the Princeton Review - Crack the SAT (USA) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Sega Casino; Sega Casino (USA) (En,Fr,De,Es,It); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Settlement Colossus; Settlement Colossus (Europe) (En,Fr,De,Nl); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
My Spanish Coach - Learn a New Language; My Spanish Coach - Learn a New Language (USA); YES; NO; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
My Spanish Coach - Level 2 - Improve Your Spanish; My Spanish Coach - Level 2 - Improve Your Spanish (Europe); YES; NO; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
My Stop Smoking Coach with Allen Carr Easyway - Quit for Good; My Stop Smoking Coach with Allen Carr Easyway - Quit for Good (USA) (En,Fr,Es) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
My Virtual Tutor - Reading - 1st Grade to 2nd Grade; My Virtual Tutor - Reading - 1st Grade to 2nd Grade (USA) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
My Weight Loss Coach - Improve Your Health; My Weight Loss Coach - Improve Your Health (USA) (En,Fr,Es); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
My Word Coach - Improve Your Vocabulary; My Word Coach - Improve Your Vocabulary (USA); YES; NO; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
My World, My Way; My World, My Way (USA) [b]; YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Sega Superstars Tennis; Sega Superstars Tennis (USA) (En,Fr,De,Es,It); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
MySims - Agents; MySims - Agents (USA) (En,Fr,Es) [b]; YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
MySims - Kingdom; MySims - Kingdom (USA) (En,Fr,Es) [b]; YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
MySims - Party; MySims - Party (USA) (En,Fr,Es) [b]; YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
MySims - Racing; MySims - Racing (USA) (En,Fr,Es) [b]; YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
MySims - SkyHeroes; MySims - SkyHeroes (USA) (En,Fr,De,Es,It,Nl); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Myst; Myst (USA) (En,Fr) (Rev 1); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Myst; Myst (USA) (En,Fr); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
